artists_id,danceability
[178301],-437199.9997534983
[178301],-581007.9997940087
[178301],-431292.9997054021
[625201],-304426.99971493473
[625201],-264932.9996913713
[625201],-277772.99971969484
[625201],-312732.99963457196
[625201],-241106.99972568254
[625201],-359199.99964752526
[625201],-370559.99997210054
[625201],-235492.99975263583
[625201],-247399.99982690933
[625201],-309399.99977667676
"[479028, 346637]",-233772.9993928743
"[479028, 346637]",-215666.9993686636
"[479028, 346637]",-187559.9993012752
"[479028, 346637]",-187506.99957747807
"[479028, 346637]",-203999.99938120897
[479028],-126892.99975701947
[479028],-197706.99976139987
[479028],-87119.99962944047
[479028],-148186.9995314699
[479028],-254666.9996857169
[479028],-166372.99956918205
[479028],-149066.99954278726
[479028],-235266.9997300692
[479028],-102999.99914978928
[479028],-240999.99972968537
[479028],-142332.99958329022
[479028],-160306.99918572474
[479028],-220639.99948114587
[479028],-185439.99940294944
[479028],-111932.9994048974
[479028],-263332.9996881741
[479028],-162239.99961245517
[479028],-223532.99946436015
[479028],-155732.9994049128
[479028],-161466.99940163898
[479028],-218932.99953598186
[479028],-253332.99915437953
[479028],-238999.9993714303
[479028],-188172.99942188442
[479028],-152492.99930215877
[479028],-182412.99952198798
[479028],-158946.9996662792
[479028],-201426.99934420906
[479028],-147199.99942749762
[479028],-148972.9994537226
[479028],-125706.99913753
[479028],-155266.99953359534
[479028],-175666.9995147421
[479028],-193946.99968000533
[479028],-189052.99934083511
[479028],-190306.99980160198
[479028],-188772.99935015556
[479028],-180732.9993518718
[479028],-175466.99974553607
[479028],-201466.9993515689
[479028],-156772.99918922447
[479028],-174199.99937010533
[479028],-187092.99960763348
[479028],-192999.9996479643
[479028],-145306.9992725589
[479028],-183999.99927432768
[479028],-190866.99948805914
[479028],-165132.9995557285
[479028],-195799.99913152144
[479028],-170759.99907232044
[479028],-160852.99991154825
[479028],-145159.99984300658
[479028],-193759.99945240896
[479028],-194132.99925449135
[479028],-223892.99964579192
[479028],-200959.9998824379
[479028],-176839.99966033717
[479028],-185972.99929798074
[479028],-240799.99961920464
[479028],-219506.9993817355
[479028],-180039.99968772975
[479028],-207732.99987232537
[479028],-188732.9992992375
[479028],-159826.99924634097
[479028],-148146.99938076007
[479028],-231839.99960565352
[479028],-189919.99964635613
[479028],-197132.99929496087
[479028],-145799.99934500904
[479028],-159132.99934355225
[479028],-216266.9995943031
[479028],-173439.99933323218
[479028],-195999.9995750907
[479028],-214199.99972983805
[479028],-162866.9998192176
[479028],-179666.9996528044
[479028],-173972.9994184689
[479028],-169772.99969125527
[479028],-233919.99960969025
[479028],-236986.99937175785
[479028],-135492.99958175982
[479028],-129266.99936846495
[479028],-219506.9997006375
[479028],-145519.9992774885
[479028],-207466.99978369044
[479028],-246879.99969793923
[479028],-256132.99923072403
[479028],-171999.99971274612
[479028],-181132.9995462318
[479028],-193599.99924231326
[479028],-202799.9995760234
[479028],-259279.99937410033
[479028],-227159.9990758915
[479028],-144466.9994057159
[479028],-156692.9995281019
[479028],-191239.99947349422
[479028],-174199.9995292964
[80609],-366132.99956997694
[80609],-242892.9994622016
[942624],-281399.99990050023
[654543],-236559.99977493688
[654543],-183172.99981288967
[654543],-122879.99977271051
[775588],-219999.9996795693
[775588],-233038.9993953285
"[106145, 933458]",-243012.99984144536
[106145],-243239.99972361873
[134600],-314165.9999241589
[134600],-344347.0000714358
[134600],-327732.9999789305
[134600],-313532.99990855873
[134600],-286466.99988890893
[134600],-278572.9998849011
[134600],-393106.99992790545
[134600],-246559.99991474327
[134600],-426759.99992898136
[134600],-316306.9999353329
[134600],-373599.9998406698
[134600],-355999.99987115146
[134600],-240452.9999186655
[134600],-259366.99985300054
[134600],-455066.9998977181
[134600],-302839.99997743627
[134600],-176986.9998176979
[134600],-346267.0000900345
[134600],-350532.99980476307
[134600],-262893.0000733335
[134600],-384667.00007480476
[134600],-430799.9999023064
[134600],-382333.0000273599
[134600],-356492.9997617629
[134600],-321642.999929592
[134600],-336812.9999901892
[134600],-344892.99981949193
[134600],-344492.9998386059
[134600],-286799.9999382047
[134600],-233932.99992701635
[134600],-373027.0000525095
[134600],-200839.99985271305
[134600],-282187.0000002211
[677089],-170719.9996699244
[206668],-216039.9999892678
[206668],-245200.00005293527
[206668],-293573.000058543
[206668],-240066.99996822112
"[210991, 502371]",-297332.9997807729
"[210991, 391177]",-275159.9996038349
[210991],-245599.9999789165
[210991],-222626.99964640348
[210991],-286772.9995169275
[210991],-234706.999665892
